"acra" "numa" "acrb" "numb" "year" "expab" "impab" "Population" "source_trade" "source_pop" "source_gdp" "GDP" "tradeop" "ln.tradeop" "GDPpC" "ln.GDPpC" "PolitySC2" "outFDI" "inFDI" "outFDIstock" "inFDIstock" "source_FDI" "emig_ab" "immig_ba" "source_emig" "source_immig" "credit" "debit" "source_serv" "Distance" "ECOfreq" "PMfreq" "CAPfreq" "SERfreq" "ECOcum" "PMcum" "CAPcum" "SERcum" "crisis" "bankcrisis" "currcrisis" "debtcrisis" "globcrisis" "domcrisis" "HId" "LMId" "refugeecrisis" "contiguity" "bordercontrols" "EU_memb" "acra-bt-id" "acra-b-id" "ln.migop" "ln.capop" "ln.servop"
"50" "DEN" 390 "EST" 710 2000 119 154 5339616 1 2 4 191010.159302326 1429.24335018172 7.26490045747048 35.7722651408501 3.57717287642253 10 NA NA NA NA NA NA 130 "OECD" "OECD" NA NA "EStat" 965 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA NA NA
"51" "DEN" 390 "EST" 710 2001 127 168 5358783 1 2 4 190489.462209302 1548.64209588594 7.34513375877182 35.5471498303444 3.5708599794865 10 2 NA 53 NA "UNC-14" NA 110 "OECD" "OECD" NA NA "EStat" 965 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA NA NA
"52" "DEN" 390 "EST" 710 2002 148 173 5375931 1 2 4 193896.227034884 1655.52473562185 7.41187329835671 36.067469436435 3.58539133543839 10 4 NA 74 NA "UNC-14" NA 99 "OECD" "OECD" NA NA "EStat" 965 3 5 3 3 27.5 29.5 18.5 16 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA NA NA
"53" "DEN" 390 "EST" 710 2003 170 181 5390574 1 2 4 186049.509496124 1886.5946002793 7.54252868406775 34.513858727498 3.54136094562289 10 11 2 116 NA "UNC-14" NA 46 "OECD" "OECD" 48980.1971078567 49399.2815694943 "EStat" 965 1 1 1 1 28.5 30.5 19.5 17 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA NA -0.637180586098549
"54" "DEN" 390 "EST" 710 2004 195 196 5404523 1 2 4 194155.462693798 2013.85011049956 7.60780364672519 35.9246251137794 3.58142299666442 10 7 -3 183 35 "UNC-14" NA 87 "OECD" "OECD" 49516.6252187529 53379.3865708759 "EStat" 965 4 4 4 4 32.5 34.5 23.5 21 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA 3.55597237866281 -0.634940308271705
"55" "DEN" 390 "EST" 710 2005 212 208 5419432 1 2 4 193311.364437985 2172.6606773537 7.68370781406115 35.6700415168941 3.57431116328641 10 19 6 183 35 "UNC-14" NA 120 "OECD" "OECD" 59396.2420558165 54350.4651376992 "EStat" 965 0 0 0 0 32.5 34.5 23.5 21 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA 3.55924366439024 -0.530328066535654
"56" "DEN" 390 "EST" 710 2006 312 269 5437272 1 2 4 206602.985755814 2812.15684214114 7.94170702738549 37.9975446797243 3.63752154394737 10 20 9 242 50 "UNC-14" NA 139 "OECD" "OECD" 83278.0694482822 68780.1418439716 "EStat" 965 3 4 3 3 35.5 38.5 26.5 24 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA 3.91441683215219 -0.306535591888214
"57" "DEN" 390 "EST" 710 2007 350 292 5461438 1 2 4 215705.941182171 2976.27407238547 7.99842748592812 39.4961805264787 3.67620397169958 10 629 21 493 79 "UNC-14" NA 139 "OECD" "OECD" 112182.923459519 72252.5559546836 "EStat" 965 1 2 1 1 36.5 40.5 27.5 26 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA 4.38599946275437 -0.15661639949655
"58" "DEN" 390 "EST" 710 2008 348 347 5493621 1 2 4 223520.409399225 3109.33575089636 8.04216439743999 40.6872642650858 3.70591512615995 10 81 1 568 76 "UNC-14" NA 162 "OECD" "OECD" 121028.000368426 78471.7693653864 "EStat" 965 0 4 2 2 36.5 44.5 29.5 28 1 1 0 0 1 0 1 0 0 0 0 1 10 11 NA 4.33263109363887 -0.11368964499417
"59" "DEN" 390 "EST" 710 2009 252 241 5523095 1 2 4 216202.065213178 2280.27424027562 7.73205099553797 39.1450925999242 3.66727506591907 10 -75 NA 443 77 "UNC-14" NA 142 "OECD" "OECD" 99846.2742930828 90661.1402781615 "EStat" 965 0 0 0 0 36.5 44.5 29.5 28 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA NA -0.126522342043701
