year DEN EST FIN GFR LAT LIT POL RUS SWD
1951 10 -7 10 10 -7 -7 -7 -7 10
1952 10 -7 10 10 -7 -7 -7 -7 10
1953 10 -7 10 10 -7 -7 -7 -7 10
1954 10 -7 10 10 -7 -7 -7 -7 10
1955 10 -7 10 10 -7 -7 -7 -7 10
1956 10 -7 10 10 -7 -7 -7 -7 10
1957 10 -7 10 10 -7 -7 -7 -7 10
1958 10 -7 10 10 -7 -7 -7 -7 10
1959 10 -7 10 10 -7 -7 -7 -7 10
1960 10 -7 10 10 -7 -7 -7 -7 10
1961 10 -7 10 10 -7 -7 -7 -7 10
1962 10 -7 10 10 -7 -7 -7 -7 10
1963 10 -7 10 10 -7 -7 -7 -7 10
1964 10 -7 10 10 -7 -7 -7 -7 10
1965 10 -7 10 10 -7 -7 -7 -7 10
1966 10 -7 10 10 -7 -7 -7 -7 10
1967 10 -7 10 10 -7 -7 -7 -7 10
1968 10 -7 10 10 -7 -7 -7 -7 10
1969 10 -7 10 10 -7 -7 -7 -7 10
1970 10 -7 10 10 -7 -7 -7 -7 10
1971 10 -7 10 10 -7 -7 -7 -7 10
1972 10 -7 10 10 -7 -7 -7 -7 10
1973 10 -7 10 10 -7 -7 -7 -7 10
1974 10 -7 10 10 -7 -7 -7 -7 10
1975 10 -7 10 10 -7 -7 -7 -7 10
1976 10 -7 10 10 -7 -7 -7 -7 10
1977 10 -7 10 10 -7 -7 -7 -7 10
1978 10 -7 10 10 -7 -7 -7 -7 10
1979 10 -7 10 10 -7 -7 -7 -7 10
1980 10 -7 10 10 -7 -7 -6 -7 10
1981 10 -7 10 10 -7 -7 -8 -7 10
1982 10 -7 10 10 -7 -7 -8 -7 10
1983 10 -7 10 10 -7 -7 -7 -7 10
1984 10 -7 10 10 -7 -7 -7 -7 10
1985 10 -7 10 10 -7 -7 -7 -7 10
1986 10 -7 10 10 -7 -7 -7 -7 10
1987 10 -7 10 10 -7 -7 -6 -7 10
1988 10 -6 10 10 -6 -6 -6 -6 10
1989 10 -4 10 10 -4 -4 5 -4 10
1990 10 0 10 10 0 0 5 0 10
1991 10 6 10 10 8 10 8 0 10
1992 10 6 10 10 8 10 8 5 10
1993 10 6 10 10 8 10 8 3 10
1994 10 6 10 10 8 10 8 3 10
1995 10 6 10 10 8 10 9 3 10
1996 10 6 10 10 8 10 9 3 10
1997 10 6 10 10 8 10 9 3 10
1998 10 6 10 10 8 10 9 3 10
1999 10 7 10 10 8 10 9 3 10
2000 10 9 10 10 8 10 9 6 10
2001 10 9 10 10 8 10 9 6 10
2002 10 9 10 10 8 10 10 6 10
2003 10 9 10 10 8 10 10 6 10
2004 10 9 10 10 8 10 10 6 10
2005 10 9 10 10 8 10 10 6 10
2006 10 9 10 10 8 10 10 6 10
2007 10 9 10 10 8 10 10 4 10
2008 10 9 10 10 8 10 10 4 10
2009 10 9 10 10 8 10 10 4 10
2010 10 9 10 10 8 10 10 4 10
2011 10 9 10 10 8 10 10 4 10
2012 10 9 10 10 8 10 10 4 10
2013 10 9 10 10 8 10 10 4 10
2014 10 9 10 10 8 10 10 4 10
2015 10 9 10 10 8 10 10 4 10
