"","acra","numa","acrb","numb","year","expab","impab","Population","source_trade","source_pop","source_gdp","GDP","tradeop","ln.tradeop","GDPpC","ln.GDPpC","PolitySC2"
"1","DEN",390,"EST",710,1951,NA,NA,4310350,0,"3",4,37663.0859496124,NA,NA,8.73782545491953,2.1676613549257,10
"2","DEN",390,"EST",710,1952,NA,NA,4340420,0,"3",4,39091.6795542636,NA,NA,9.00642784667465,2.19793852759914,10
"3","DEN",390,"EST",710,1953,NA,NA,4370490,0,"3",4,41948.189244186,NA,NA,9.59805176174435,2.26156013639342,10
"4","DEN",390,"EST",710,1954,NA,NA,4410590,0,"3",4,43525.8145348837,NA,NA,9.86847894156648,2.28934573230556,10
"5","DEN",390,"EST",710,1955,NA,NA,4440660,0,"3",4,43523.626744186,NA,NA,9.80116170663506,2.28250092014441,10
"6","DEN",390,"EST",710,1956,NA,NA,4470740,0,"3",4,44573.9537790698,NA,NA,9.97015120071169,2.29959574942662,10
"7","DEN",390,"EST",710,1957,NA,NA,4500810,0,"3",4,46498.2323643411,NA,NA,10.3310809308416,2.33515691762247,10
"8","DEN",390,"EST",710,1958,NA,NA,4530880,0,"3",4,47822.0612403101,NA,NA,10.5546960502838,2.35657088413376,10
"9","DEN",390,"EST",710,1959,NA,NA,4550930,0,"3",4,52631.8208333333,NA,NA,11.5650693008535,2.44798928795715,10
"10","DEN",390,"EST",710,1960,NA,NA,4581000,0,"3",4,55638.5356589147,NA,NA,12.14550003469,2.49695873366834,10
"11","DEN",390,"EST",710,1961,NA,NA,4610000,0,"3",4,59140.4736434109,NA,NA,12.8287361482453,2.55168766623407,10
"12","DEN",390,"EST",710,1962,NA,NA,4647000,0,"3",4,62559.7254844961,NA,NA,13.4623898180538,2.59989985808904,10
"13","DEN",390,"EST",710,1963,NA,NA,4684000,0,"3",4,63789.1685077519,NA,NA,13.6185244465739,2.6114309575965,10
"14","DEN",390,"EST",710,1964,NA,NA,4720000,0,"3",4,69548.3511627907,NA,NA,14.7348201616082,2.69021341127013,10
"15","DEN",390,"EST",710,1965,NA,NA,4758000,0,"3",4,73006.1394379845,NA,NA,15.343871256407,2.73071612762146,10
"16","DEN",390,"EST",710,1966,NA,NA,4798000,0,"3",4,75368.7015503876,NA,NA,15.7083579721525,2.75419292561783,10
"17","DEN",390,"EST",710,1967,NA,NA,4835354,0,"2",4,79704.563372093,NA,NA,16.4837079916161,2.80237249866401,10
"18","DEN",390,"EST",710,1968,NA,NA,4864883,0,"2",4,84239.2275193799,NA,NA,17.3157766629495,2.85161803176899,10
"19","DEN",390,"EST",710,1969,NA,NA,4891860,0,"2",4,90724.3292635659,NA,NA,18.545978270753,2.92025296073673,10
"20","DEN",390,"EST",710,1970,NA,NA,4928757,0,"2",4,92470.6274224806,NA,NA,18.7614498792455,2.93180422626576,10
"21","DEN",390,"EST",710,1971,NA,NA,4963126,0,"2",4,94676.9395348837,NA,NA,19.0760701088152,2.94843467566592,10
"22","DEN",390,"EST",710,1972,NA,NA,4991596,0,"2",4,99010.4091085271,NA,NA,19.8354211976544,2.9874692888129,10
"23","DEN",390,"EST",710,1973,NA,NA,5021861,0,"2",4,104757.025193798,NA,NA,20.8602000720049,3.03784304070616,10
