"","acra","numa","acrb","numb","year","expab","impab","ln(expab)","ln(impab)","currGDP","consGDP2010","deflGDP","constGDPpcap2010","Population","PolityS2","ln(consGDP2010)","ln(constGDPpcap2010)","eu","asean","eu_cum","asean_cum"
"17","DEN",835,"EST",710,1967,NA,NA,NA,NA,12788479692.1939,132543587827.689,11.9343995703395,27411.3514393545,4835354,10,25.6101773930129,10.2187124926912,0,0,5,0
"18","DEN",835,"EST",710,1968,NA,NA,NA,NA,13196541952,137812126126.296,12.7697071925317,28327.9425479084,4864883,10,25.6491571896681,10.251603965687,0,0,5,0
"19","DEN",835,"EST",710,1969,NA,NA,NA,NA,15009384584.5333,146525277140.381,13.6602473542148,29952.8762352931,4891860,10,25.7104637907276,10.3073806335,0,0,5,0
"20","DEN",835,"EST",710,1970,NA,NA,NA,NA,16866156733.3333,149494009886.026,15.0452902321318,30330.975920709,4928757,10,25.7305221613224,10.3199247769111,0,0,5,0
"21","DEN",835,"EST",710,1971,NA,NA,NA,NA,18823150290.1849,153981645685.532,16.1414597780352,31025.1332900942,4963126,10,25.7600992483969,10.3425529062793,0,0,5,0
"22","DEN",835,"EST",710,1972,NA,NA,NA,NA,22966364108.6153,160410375668.996,17.6908139979904,32136.0894729854,4991596,10,25.8010012165024,10.3777349602332,1,1,6,1
"23","DEN",835,"EST",710,1973,NA,NA,NA,NA,30459579436.3171,166440586209.349,19.6848048131473,33143.2085056414,5021861,10,25.837904243101,10.4085931030003,0,0,6,1
"24","DEN",835,"EST",710,1974,NA,NA,NA,NA,33900564767.2644,165082506978.894,22.2545813199651,32720.0771290361,5045297,10,25.8297112281638,10.3957441479583,0,0,6,1
"25","DEN",835,"EST",710,1975,NA,NA,NA,NA,40251071473.3215,163066103838.836,25.2197893453317,32227.3816635387,5059862,10,25.8174215005656,10.3805717324011,0,1,6,2
"26","DEN",835,"EST",710,1976,NA,NA,NA,NA,44401699735.3185,173002537526.004,27.5861055435274,34105.3254637279,5072596,10,25.876572099117,10.4372088230349,0,1,6,2
"27","DEN",835,"EST",710,1977,NA,NA,NA,NA,49666416194.6962,176426005049.697,30.0489984708752,34672.0671095868,5088419,10,25.8961673905704,10.45368965933,0,1,6,2
"28","DEN",835,"EST",710,1978,NA,NA,NA,NA,60281337504.0801,180438896819.047,32.7577224513987,35350.7307675972,5104248,10,25.9186580356298,10.4730743434617,0,1,6,2
"29","DEN",835,"EST",710,1979,NA,NA,NA,NA,70309794677.8179,187566466510.197,35.0651660954171,36656.9789425458,5116801,10,25.9573991075952,10.5093591105388,1,0,7,2
"30","DEN",835,"EST",710,1980,NA,NA,NA,NA,70867465285.0476,186652000551.199,38.0473571455172,36433.9287205004,5123027,10,25.9525117604451,10.5032557271883,0,1,7,3
"31","DEN",835,"EST",710,1981,NA,NA,NA,NA,61376989330.9375,184996576821.18,42.0219485920494,36121.0536181431,5121572,10,25.9436031581842,10.494631177043,0,1,7,3
"32","DEN",835,"EST",710,1982,NA,NA,NA,NA,59916301293.7449,191867317757.508,46.2659056475274,37490.1213131218,5117810,10,25.9800699167405,10.5318327456042,0,1,7,3
"33","DEN",835,"EST",710,1983,NA,NA,NA,NA,60188398261.345,196955365125.087,49.690760792565,38510.7406013156,5114297,10,26.0062429670438,10.5586924580267,0,1,7,3
"34","DEN",835,"EST",710,1984,NA,NA,NA,NA,58673426983.7591,205159692715.279,52.6639687092646,40135.9515870175,5111619,10,26.0470545016855,10.60002775994,0,1,7,3
"35","DEN",835,"EST",710,1985,NA,NA,NA,NA,62220601827.0356,213416210095.837,54.9303181035913,41734.2796222606,5113691,10,26.0865101340156,10.6390781233778,1,0,8,3
