Source: http://www.cbss.org/council/coordination/ (Accessed: 22.03.2017)
Reoccuring Topics: Transportation (Via Baltica), Cultural Heritage (Ars Baltica), Transfer to market economies, Energy cooperation, Child safety, Combat crime (trafficking/drugs)
*since ~2002 increasingly coordinating relations between members and non-members of the EU

Total Amount of Documents analyzed: 37
Eco = Economic
PM = People Movement
Cap = Capital
Ser = Services
Name = Name of the Document (Preferrably official)
P = Pagenumber of Norms
Tim = Number of times the norm appears in the document

Coding: Occurence in General Document = 1
        Occurence in Specific Document = 0.5 (specific documents that exclusively deal with the norm specific subject are coded as 1)

Year    Eco P   Tim PM  P   Tim Cap P   Tim Ser P   Tim Name
1992	-	-	-	-	-	-	-	-	-	-	-	-	1992 CBSS 1st Ministerial Session -Copenhagen Declaration	1992-CBSS-1st-Ministerial-Session-Communique.pdf
1993	0.5	2	1	0.5	2	1	-	-	-	-	-	-	1993 CBSS 2nd Ministerial Session -Helsinki Communiqué	1993-CBSS-2nd-Ministerial-Session-Communique.pdf 
1994	1.5	2,3	2	0.5	2	1	-	-	-	-	-	-	1994 CBSS 3rd Ministerial Session -Tallinn Communiqué	1994-CBSS-3rd-Ministerial-Session-Communique.pdf (ECO: 0.5x1 (2), 1x2 (3))
1995	-	-	-	1	3	1	-	-	-	-	-	-	1995 CBSS 4th Ministerial Session -Gdansk Communiqué	1995-CBSS-4th-Ministerial-Session-Communique.pdf
1996	-	-	-	-	-	-	-	-	-	-	-	-	1996 CBSS 5th Ministerial Session -Kalmar Communiqué	1996-CBSS-5th-Ministerial-Session-Communique.pdf
1996	0.5	2	1	-	-	-	-	-	-	-	-	-	1st Baltic Sea States Summit, Visby, 3-4 May, 1996 Baltic Sea States Summit VISBY 3-4 MAY 1996 PRESIDENCY Declaration 	1996-1st-Baltic-Sea-States-Summit-Presidency-Declaration.pdf
1997	-	-	-	1	3,4	2	-	-	-	-	-	-	1997 CBSS 6th Ministerial Session -Riga Communiqué	1997-CBSS-6th-Ministerial-Session-Communique.pdf
1998	1	2	1	-	-	-	-	-	-	-	-	-	1998 CBSS 7th Ministerial Session -Nyborg Communiqué	1998-CBSS-7th-Ministerial-Session-Communique.pdf
1998	1	2	1	-	-	-	-	-	-	-	-	-	Presidency Declaration Baltic Sea States Summit Riga, 22-23 January 1998 Presidency Declaration 	1998-2nd-BSS-Summit-Presidency-Declaration.pdf
1999	1	2	1	1	5	1	-	-	-	-	-	-	1999 CBSS 8th Ministerial session -Palanga Communiqué	1999-CBSS-8th-Ministerial-Session-Communique.pdf
2000	-	-	-	-	-	-	-	-	-	-	-	-	2000 CBSS 9th Ministerial Session -Bergen Communiqué	2000-CBSS-9th-Ministerial-Session-Communique.pdf
2000	1	1	1	-	-	-	-	-	-	-	-	-	Baltic Sea States Summit, Kolding, 12-13 April 2000 BALTIC SEA STATES SUMMIT Kolding, Denmark, 12-13 April 2000 CHAIRMAN’S CONCLUSIONS BALTIC SEA CO-OPERATION AND EUROPEAN STABILITY AND INTEGRATION 	2000-3rd-Baltic-Sea-States-Summit-Chairmans-Conclusions.pdf
2001	1	3	1	-	-	-	1	3	1	-	-	-	2001 CBSS 10th Ministerial Session -Hamburg Communiqué	2001-CBSS-10th-Ministerial-Session-Communique.pdf
2002	1	1	1	-	-	-	-	-	-	-	-	-	2002 CBSS 11th Ministerial Session -Svetlogorsk Declaration	2002-CBSS-11th-Ministerial-Session-Declaration.pdf
2002	1	2	1	-	-	-	1	2	1	-	-	-	4th BALTIC SEA STATES SUMMIT (St. Petersburg, 10 June 2002) CHAIRMAN’S CONCLUSIONS 	2002-4th-Baltic-Sea-States-Summit-Chairmans-Conclusions.pdf
2003	1	5	2	-	-	-	1	5	1	-	-	-	Council of the Baltic Sea States 12th Ministerial Session Communiqué (Pori, 10-11 June 2003) 	2003-CBSS-12th-Ministerial-Session-Communique.pdf
2004	1	2	1	-	-	-	1	2	1	-	-	-	5th BALTIC SEA STATES SUMMIT Laulasmaa, Estonia, 21 June 2004 CHAIRMAN’S CONCLUSIONS 	2004-5th-Baltic-Sea-States-Summit-Chairmans-Conclusions.pdf
2005	1	4	1	1	4	1	1	4	1	-	-	-	13th Ministerial Session of the Council of the Baltic Sea States Szczecin, 9-10 June 2005 	2005-CBSS-13th-Ministerial-Session-Communique.pdf
2006	1	2	1	-	-	-	1	2	1	-	-	-	6th Baltic Sea States Summit Reykjavik, Iceland 8 June 2006 Chairman’s Conclusions 	2006-6th-Baltic-Sea-States-Summit-Chairmans-Conclusions.pdf
2007	-	-	-	-	-	-	-	-	-	-	-	-	DECLARATION of the Council of the Baltic Sea States in Malmö on 13 June 2007 on a Renewed Baltic Sea States Cooperation 	2007-CBSS-14th-Ministerial-Session-Declaration.pdf
2007	-	-	-	-	-	-	-	-	-	-	-	-	JOINT COMMUNIQUÉ of the 14 th Session of the Council of the Baltic Sea States, in Malmö, Sweden on 12-13 June 2007 	2007-CBSS-14th-Ministerial-Session-Joint-Communique.pdf
2008	-	-	-	-	-	-	-	-	-	-	-	-	7th Baltic Sea States Summit Riga, Latvia 4 June 2008 Chairman’s Conclusions 	2008-7th-Baltic-Sea-States-Summit-Chairmans-Conclusions.pdf
2008	-	-	-	-	-	-	-	-	-	-	-	-	Declaration on the reform of the Council of the Baltic Sea States CBSS Ministers' Deputies Meeting Riga, 3 June 2008 	2008-Riga-Declaration-on-the-Reform-of-the-Council-of-the-Baltic-Sea-States.pdf
2009	-	-	-	-	-	-	-	-	-	-	-	-	Declaration 15th CBSS Ministerial Session, Elsinore 4 June 2009 	2009-CBSS-15th-Ministerial-Session-Declaration-Elsinore.pdf
